product_id,category,sub_category,product_name
"Furniture_Bookcases_Bush Somerset Collection Bookcase",Furniture,Bookcases,"Bush Somerset Collection Bookcase"
"Furniture_Chairs_Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
"Office Supplies_Labels_Self-Adhesive Address Labels for Typewriters by Universal","Office Supplies",Labels,"Self-Adhesive Address Labels for Typewriters by Universal"
"Furniture_Tables_Bretford CR4500 Series Slim Rectangular Table",Furniture,Tables,"Bretford CR4500 Series Slim Rectangular Table"
"Office Supplies_Storage_Eldon Fold 'N Roll Cart System","Office Supplies",Storage,"Eldon Fold 'N Roll Cart System"
"Furniture_Furnishings_Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
"Office Supplies_Art_Newell 322","Office Supplies",Art,"Newell 322"
"Technology_Phones_Mitel 5320 IP Phone VoIP phone",Technology,Phones,"Mitel 5320 IP Phone VoIP phone"
"Office Supplies_Binders_DXL Angle-View Binders with Locking Rings by Samsill","Office Supplies",Binders,"DXL Angle-View Binders with Locking Rings by Samsill"
"Office Supplies_Appliances_Belkin F5C206VTEL 6 Outlet Surge","Office Supplies",Appliances,"Belkin F5C206VTEL 6 Outlet Surge"
"Furniture_Tables_Chromcraft Rectangular Conference Tables",Furniture,Tables,"Chromcraft Rectangular Conference Tables"
"Technology_Phones_Konftel 250 Conference phone - Charcoal black",Technology,Phones,"Konftel 250 Conference phone - Charcoal black"
"Office Supplies_Paper_Xerox 1967","Office Supplies",Paper,"Xerox 1967"
"Office Supplies_Binders_Fellowes PB200 Plastic Comb Binding Machine","Office Supplies",Binders,"Fellowes PB200 Plastic Comb Binding Machine"
"Office Supplies_Appliances_Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter","Office Supplies",Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
"Office Supplies_Binders_Storex DuraTech Recycled Plastic Frosted Binders","Office Supplies",Binders,"Storex DuraTech Recycled Plastic Frosted Binders"
"Office Supplies_Storage_Stur-D-Stor Shelving, Vertical 5-Shelf: 72"H x 36"W x 18 1/2"D","Office Supplies",Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72"H x 36"W x 18 1/2"D"
"Office Supplies_Storage_Fellowes Super Stor/Drawer","Office Supplies",Storage,"Fellowes Super Stor/Drawer"
