sale_id,order_id,customer_id,product_id,order_date,ship_date,ship_mode,sales,quantity,discount,profit,order_date_clean
CA-2016-152156_0,CA-2016-152156,CG-12520,"Furniture_Bookcases_Bush Somerset Collection Bookcase",11-08-2016,11-11-2016,"Second Class",261.96,2,0,41.9136,2016-08-11
CA-2016-152156_1,CA-2016-152156,CG-12520,"Furniture_Chairs_Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",11-08-2016,11-11-2016,"Second Class",731.94,3,0,219.582,2016-08-11
CA-2016-138688_2,CA-2016-138688,DV-13045,"Office Supplies_Labels_Self-Adhesive Address Labels for Typewriters by Universal",06-12-2016,6/16/2016,"Second Class",14.62,2,0,6.8714,2016-12-06
US-2015-108966_3,US-2015-108966,SO-20335,"Furniture_Tables_Bretford CR4500 Series Slim Rectangular Table",10-11-2015,10/18/2015,"Standard Class",957.5775,5,0.45,-383.031,2015-11-10
US-2015-108966_4,US-2015-108966,SO-20335,"Office Supplies_Storage_Eldon Fold 'N Roll Cart System",10-11-2015,10/18/2015,"Standard Class",22.368,2,0.2,2.5164,2015-11-10
CA-2014-115812_5,CA-2014-115812,BH-11710,"Furniture_Furnishings_Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",06-09-2014,6/14/2014,"Standard Class",48.86,7,0,14.1694,2014-09-06
CA-2014-115812_6,CA-2014-115812,BH-11710,"Office Supplies_Art_Newell 322",06-09-2014,6/14/2014,"Standard Class",7.28,4,0,1.9656,2014-09-06
CA-2014-115812_7,CA-2014-115812,BH-11710,"Technology_Phones_Mitel 5320 IP Phone VoIP phone",06-09-2014,6/14/2014,"Standard Class",907.152,6,0.2,90.7152,2014-09-06
CA-2014-115812_8,CA-2014-115812,BH-11710,"Office Supplies_Binders_DXL Angle-View Binders with Locking Rings by Samsill",06-09-2014,6/14/2014,"Standard Class",18.504,3,0.2,5.7825,2014-09-06
CA-2014-115812_9,CA-2014-115812,BH-11710,"Office Supplies_Appliances_Belkin F5C206VTEL 6 Outlet Surge",06-09-2014,6/14/2014,"Standard Class",114.9,5,0,34.47,2014-09-06
CA-2014-115812_10,CA-2014-115812,BH-11710,"Furniture_Tables_Chromcraft Rectangular Conference Tables",06-09-2014,6/14/2014,"Standard Class",1706.184,9,0.2,85.3092,2014-09-06
CA-2014-115812_11,CA-2014-115812,BH-11710,"Technology_Phones_Konftel 250 Conference phone - Charcoal black",06-09-2014,6/14/2014,"Standard Class",911.424,4,0.2,68.3568,2014-09-06
CA-2017-114412_12,CA-2017-114412,AA-10480,"Office Supplies_Paper_Xerox 1967",4/15/2017,4/20/2017,"Standard Class",15.552,3,0.2,5.4432,2017-04-15
CA-2016-161389_13,CA-2016-161389,IM-15070,"Office Supplies_Binders_Fellowes PB200 Plastic Comb Binding Machine",12-05-2016,12-10-2016,"Standard Class",407.976,3,0.2,132.5922,2016-05-12
